timestamp,location,raw_text,platform,date,detected_symptom,severity_score,official_aqi,pm25
2025-12-14 14:00:00,RK Puram,Sir dard se phat raha hai. RK Puram is extremely polluted.,Bluesky_Sim,2025-12-14,GENERAL,5,211.33333333333334,91.03250000000001
2025-12-01 12:51:00,Munirka,Blurred vision due to smog in Munirka. Be careful driving.,Twitter_Mined,2025-12-01,OCULAR,7,204.4375,94.11479166666668
2025-12-15 07:24:00,Vasant Kunj,It feels like chilli powder in the air at Vasant Kunj. Eyes are red.,Twitter_Mined,2025-12-15,OCULAR,7,202.5,86.65625
2025-12-11 04:13:00,Jahangirpuri,Saans lene me dikkat ho rahi hai nearby Jahangirpuri. Anyone else?,Twitter_Mined,2025-12-11,RESPIRATORY,5,194.35416666666666,87.54541666666667
2025-12-14 07:40:00,Dwarka,Aankhon me jalan ho rahi hai subah se. Wearing sunglasses indoors.,Twitter_Mined,2025-12-14,OCULAR,7,211.33333333333334,91.03250000000001
2025-12-11 15:57:00,Rohini,Blurred vision due to smog in Rohini. Be careful driving.,Twitter_Mined,2025-12-11,OCULAR,7,194.35416666666666,87.54541666666667
2025-12-12 15:23:00,ITO,Mask is useless in ITO today. Eyes watering continuously.,Twitter_Mined,2025-12-12,OCULAR,7,190.95833333333334,85.74083333333334
2025-12-14 17:02:00,Rohini,Bhai Rohini me toh gas chamber bana hua hai. Coughing non-stop.,Twitter_Mined,2025-12-14,RESPIRATORY,5,211.33333333333334,91.03250000000001
2025-12-03 09:20:00,Rohini,Using nebulizer for the 3rd time today. Worst air quality ever.,Twitter_Mined,2025-12-03,RESPIRATORY,5,203.83333333333334,94.42020833333333
2025-12-09 21:08:00,RK Puram,"Going to hospital, heavy breathing issues since morning. #DelhiSmog",Twitter_Mined,2025-12-09,RESPIRATORY,7,197.22916666666666,85.19479166666666
2025-12-07 14:27:00,JNU,My lungs are burning. Is the AQI 500+ again?,Twitter_Mined,2025-12-07,RESPIRATORY,7,209.83333333333334,89.058125
2025-12-08 08:37:00,IIT Delhi,"Going to hospital, heavy breathing issues since morning. #DelhiSmog",Twitter_Mined,2025-12-08,RESPIRATORY,7,205.29166666666666,90.00854166666666
2025-12-15 07:47:00,Dwarka,It feels like chilli powder in the air at Dwarka. Eyes are red.,Twitter_Mined,2025-12-15,OCULAR,7,202.5,86.65625
2025-12-04 19:52:00,IIT Delhi,Is anyone else feeling dizzy due to this smoke?,Bluesky_Sim,2025-12-04,GENERAL,5,206.79166666666666,89.70916666666666
